highway;other_tags;ame_d;ame_g
residential;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
service;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""no"",""motorcar""=>""no"",""ski""=>""no"",""snowmobile""=>""no"",""surface""=>""asphalt""";AUTRE;AUTRE
tertiary;"""cycleway:left""=>""opposite_lane"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
residential;"""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""junction""=>""roundabout"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
service;"""access""=>""designated"",""bicycle""=>""yes"",""foot""=>""yes"",""goods""=>""permissive"",""hour_off""=>""11"",""hour_on""=>""8"",""maxspeed""=>""30"",""motorcar""=>""no"",""motorcycle""=>""no""";AUTRE;AUTRE
cycleway;"""foot""=>""yes"",""segregated""=>""no"",""surface""=>""concrete:plates""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""surface""=>""wood""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""crossing"",""foot""=>""no"",""horse""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""abandoned:railway""=>""rail"",""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""railway""=>""abandoned"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
path;"""abandoned:railway""=>""rail"",""bicycle""=>""designated"",""bridge""=>""yes"",""layer""=>""1"",""motor_vehicle""=>""no"",""railway""=>""abandoned"",""surface""=>""paved""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
path;"""abandoned:railway""=>""rail"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""railway""=>""abandoned"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
secondary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway""=>""lane"",""lanes""=>""3"",""lanes:backward""=>""2"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
living_street;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""20"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""cycleway:right""=>""track"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""smoothness""=>""excellent"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no""";VOIE VERTE;VOIE VERTE
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt"",""turn:lanes:backward""=>""left;through|through"",""was:lanes""=>""4""";PISTE CYCLABLE;AUCUN
residential;"""cycleway""=>""lane""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""no"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""both"",""smoothness""=>""good"",""source:maxspeed""=>""sign"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""2.7""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway:left""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description""=>""covid19 : piste cyclable temporaire"",""lane_markings""=>""no"",""maxspeed""=>""30"",""noname""=>""yes"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""bicycle""=>""yes"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""paved"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""bicycle""=>""yes"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""paved""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""dismount"",""bridge""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""layer""=>""1"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel"",""tracktype""=>""grade1""";AUTRE;AUTRE
residential;"""cycleway:left""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30""";AUCUN;BANDE CYCLABLE
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:zone30"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:zone30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""exclusive"",""cycleway:right""=>""track"",""description""=>""début 2018 : suppression voie tàd au et ajout bande cyclable"",""lanes:backward""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt"",""width""=>""5.7""";PISTE CYCLABLE;BANDE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
tertiary;"""busway""=>""opposite_lane"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P503"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""fine_gravel"",""wheelchair""=>""yes""";VOIE VERTE;VOIE VERTE
cycleway;"""layer""=>""-1"",""motor_vehicle""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""abandoned:railway""=>""rail"",""access""=>""no"",""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""layer""=>""1"",""motor_vehicle""=>""no"",""railway""=>""abandoned"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lcn""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lcn""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lcn""=>""yes"",""lit""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""lcn""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lcn""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lcn""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""description""=>""2010/NT/R/DGU-P299"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""description""=>""2010/NT/R/DGU-P299"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""cycleway:right:oneway""=>""yes"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""advisory"",""cycleway:right""=>""no"",""lanes""=>""2"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:right""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:left""=>""track"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
residential;"""bicycle""=>""designated"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""left"",""surface""=>""paving_stones""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""cycleway:right""=>""track"",""foot""=>""yes"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""tracktype""=>""grade1""";VOIE VERTE;VOIE VERTE
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""opposite_share_busway"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:left""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
service;"""access""=>""no"",""bicycle""=>""designated"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""cycleway:left""=>""track"",""cycleway:left:oneway""=>""-1"",""cycleway:right""=>""no"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE PISTE
cycleway;"""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""oneway""=>""yes"",""ref""=>""M 27E7"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""access""=>""yes"",""bicycle""=>""yes"",""cycleway:left""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""foot""=>""yes"",""lanes""=>""3"",""lanes:psv""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway:right""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
tertiary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""advisory"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""sidewalk:both:surface""=>""asphalt"",""smoothness""=>""excellent"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""source:maxspeed""=>""FR:urban"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway""=>""lane"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt"",""turn:lanes""=>""through|through;right""";COULOIR BUS+VELO;AUCUN
cycleway;"""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""junction""=>""roundabout"",""lanes""=>""2"",""lit""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt"",""width""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""gravel""";AUTRE;AUTRE
track;"""motorcar""=>""no"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""surface""=>""asphalt"",""width""=>""2.5""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:left""=>""opposite_lane"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lanes""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign""";BANDE CYCLABLE;AUCUN
track;"""access""=>""yes"",""motorcar""=>""no"",""mtb:scale""=>""0"",""surface""=>""compacted"",""tracktype""=>""grade1"",""width""=>""5""";AUTRE;AUTRE
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""private"",""motorcar""=>""no"",""mtb:scale""=>""0"",""ref""=>""MOC6, CT34"",""surface""=>""compacted"",""tracktype""=>""grade1""";AUTRE;AUTRE
tertiary;"""admin_level""=>""10"",""bicycle""=>""yes"",""boundary""=>""administrative"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway:left""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite_lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
residential;"""cycleway:left""=>""opposite_lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
residential;"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""zone:maxspeed""=>""FR:30""";AUTRE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""paving_stones"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""oneway""=>""yes"",""oneway:bicycle""=>""no"",""width""=>""4""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""no""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""bicycle""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AUTRE;AUTRE
service;"""motor_vehicle""=>""no""";AUTRE;AUTRE
service;"""bicycle""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AUTRE;AUTRE
cycleway;"""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""layer""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""surface""=>""concrete:plates""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway""=>""lane"",""lanes""=>""3"",""lanes:backward""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""segregated""=>""no""";PISTE CYCLABLE;AUCUN
residential;"""cycleway""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway""=>""lane"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel"",""tracktype""=>""grade1""";AUTRE;AUTRE
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane""";BANDE CYCLABLE;AUCUN
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""bicycle""=>""designated"",""cycleway:right""=>""lane""";BANDE CYCLABLE;AUCUN
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""oneway""=>""no""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""lane"",""cycleway:right:oneway""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""layer""=>""-3"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""tracktype""=>""grade1""";AUTRE;AUTRE
footway;"""bicycle""=>""designated"",""crossing""=>""marked"",""foot""=>""designated"",""footway""=>""crossing"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""concrete""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
